cospine@cospine-virtual-machine:~/Executable$ sudo docker exec -it 7a45469e3e03 /bin/bash
root@7a45469e3e03:/crypto_scout# sh plugin.sh -i P3
0x47ed713bc0025ce652387a58cdbea6b3b3789f45efb76380ca23585281b87197 0xbF29685856FAE1e228878DFB35B280C0adCC3B05 0x5479EF180EcEaa278c964A526df2b83Bd4007505 0x8e9A972d7FFC2Db85d56220AC8877A30A86Be419 stolen depositToken 8.99
0x499b3c240cc99d2b0ca7875c668dc8870866e0b7d2cc60472d8601aea90e5cc0 0xbF29685856FAE1e228878DFB35B280C0adCC3B05 0x5479EF180EcEaa278c964A526df2b83Bd4007505 0x8e9A972d7FFC2Db85d56220AC8877A30A86Be419 stolen depositToken 5
0x80319f821bba99952763469368922129461cdb9ce84917f4974206c26a5229c2 0xbF29685856FAE1e228878DFB35B280C0adCC3B05 0x5479EF180EcEaa278c964A526df2b83Bd4007505 0x8e9A972d7FFC2Db85d56220AC8877A30A86Be419 stolen depositToken 5
0x25e1b84fdb6869f0e202cdebe82a6010bd944b405ed8a9ec43d753c585446006 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0x3F5324a5Ab6b55AaB7270Bb385a0368b60C2CFC1 stolen withdrawToken 7.135
0xed728042dfc3cfc7573008295ffff327eb62bd0021cf1adab909687da98a601d 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0xcADEEB6dC272D6C677840c244B33B4198e36Fa70 stolen withdrawToken 0.186
0x341a212bccdb531b5e017781ea35fcfdcd15b4b322e58c4437f6129723dfcffb 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0x89B34DC769b03130E326C1225b8548c1802BEe35 stolen withdrawToken 14.7
0xfd3732b9842113d7f2038d60db025811fe7464b75a36cc81c3b0b63ff3349998 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0xE0aa77981560568F4e9f0e7Ae3CE3386e262370f stolen withdrawToken 0.54
0xa3c68cf10fd744e9ea82be44d074878e44c6dccf0b4e6b45e80b1fe0459ab3fb 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0xdc7C6C82C9FDf4f2bE3aE232D202533c0389465E stolen withdrawToken 9
0xa8a8ed8474c779146de113566dd8cdafe4c584ec8689fee6a61bec064641623f 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0xcADEEB6dC272D6C677840c244B33B4198e36Fa70 stolen withdrawToken 70
0x0e6713d2604f3a7659ea453b71355ad85c6f0b5da7d0e30bd5c68d4aa0b87f25 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0x1fDF047Bf7A114b37E7936d01E9caD754aD18803 stolen withdrawToken 1
0x614f13a047f414edf33be22eda0588938ec9b2dd4453926c3399b75736f9e949 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x07e76A4c93ea197cB578fef37d046972890df61B 0xcd33789720B00AD5Db15aC30fb1D546f2AE49245 stolen depositToken 0.713999999999999186
0x1d0e2514ff2cc0610adaeb49caf726e58c09376050c32a304409a9dfbccd0b7b 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0xCcd41fd2dc66D60460351afAD6297Ea3D00b7fB9 stolen withdrawToken 0.01
0x17e5c43763c87d1472264e6e126f28948ee991e450e219218cef1d7d16142a3f 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0x97079C598F01269A9128cad8E2D1EB0a00b07Cd3 stolen withdrawToken 0.1
0x8e01b66dd369926d5a7fad97f0fd345e7202a187fbda803fd8a1519f1cc964e8 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x07e76A4c93ea197cB578fef37d046972890df61B 0xd2EF6050ba57179660E12324875bD8bce23BC712 stolen depositToken 2.366299999999996191
0x764d6df5a9feef53ea8aeed7afde282040e415fbe2572d08c17cb7540d1cfa16 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x07e76A4c93ea197cB578fef37d046972890df61B 0x052f7bC9aD0b04F7Ea7ACFc709D46bA828aC031c stolen depositToken 17.8486614035087453
0x37a125d2d443d72c87a4cf5b92b1e2a38808ef211d687ffc93f1edee5fdf77b1 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0xA07170D3306917eae333F0763BaB61ACbbE3150F stolen depositToken 20000
0x4015da50291fd32c76e964f9a14f13acc87314ab0ab531f2eb73fbb92822a45e 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xce853db3359326dB6D03981C9fb42983BbCdd007 0xA07170D3306917eae333F0763BaB61ACbbE3150F stolen depositToken 160162.7
0x6f256b6c685b4d35550915f5986d7a6d3bf2927e8c70cfb79383004cc2c09781 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0xA07170D3306917eae333F0763BaB61ACbbE3150F stolen depositToken 20000
0xad3347c91264087164670cd202d135265cad866924b56fa350816ac52f9488f5 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xce853db3359326dB6D03981C9fb42983BbCdd007 0xA07170D3306917eae333F0763BaB61ACbbE3150F stolen depositToken 160162.7
0xbe091b0f4ddd469278e88a7aa1b86d7737c86ed07fc05c3cd64223f7d2dbb2f2 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0xA07170D3306917eae333F0763BaB61ACbbE3150F stolen depositToken 20000
0xee17d7c2ea88e7b5acb396c351e5ff0ff24040fe839d26dbe4d962890cca1eb0 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0x6586ddF4A8dC7002FF78a2c78dfd0a68db9c1C4d stolen depositToken 20000
